mm_Lead__c,mm_Contact__c,mm_Stage__c,mm_Start_Date__c,Lead_Contact_Source__c,CreatedDate
,,Customer Response,10/1/2024,,2024-10-01T18:51:08.000+0000
,,Evaluation,10/1/2024,,2024-10-01T18:59:21.000+0000
,,Pending Customer Verification,10/1/2024,,2024-10-01T18:59:43.000+0000
,,Pending Customer Verification,10/1/2024,,2024-10-01T19:01:31.000+0000
,,Closed,10/1/2024,,2024-10-01T19:03:26.000+0000
,,Pending Customer Verification,10/1/2024,,2024-10-01T19:04:49.000+0000
,,Evaluation,10/1/2024,,2024-10-01T19:16:43.000+0000
,003V50000067xFUIAY,SQL,10/1/2024,Sales Initiated,2024-10-01T19:17:56.000+0000
,,Escalated,10/1/2024,,2024-10-01T19:18:11.000+0000
,,Customer Response,10/1/2024,,2024-10-01T19:22:40.000+0000
,,Evaluation,10/1/2024,,2024-10-01T19:25:45.000+0000
,,Escalated,10/1/2024,,2024-10-01T19:32:08.000+0000
,,Customer Response,10/1/2024,,2024-10-01T19:34:15.000+0000
,,Draft,10/1/2024,,2024-10-01T19:36:05.000+0000
,,Evaluation,10/1/2024,,2024-10-01T19:36:09.000+0000
,,Pending Customer Verification,10/1/2024,,2024-10-01T19:41:57.000+0000
,,Evaluation,10/1/2024,,2024-10-01T19:48:11.000+0000
,,Open,10/1/2024,,2024-10-01T19:48:30.000+0000
,,Awaiting Customer,10/1/2024,,2024-10-01T19:48:31.000+0000
,,Evaluation,10/1/2024,,2024-10-01T19:50:47.000+0000
,,Evaluation,10/1/2024,,2024-10-01T19:54:03.000+0000
,,Escalated,10/1/2024,,2024-10-01T20:07:14.000+0000
,,Pending Customer Verification,10/1/2024,,2024-10-01T20:23:21.000+0000
00QV500000AaL53MAF,,Suspect,10/1/2024,Website,2024-10-01T20:29:55.000+0000
,,Closed,10/1/2024,,2024-10-01T20:30:43.000+0000
,,Pending Customer Verification,10/1/2024,,2024-10-01T20:47:43.000+0000
,,Awaiting Customer,10/1/2024,,2024-10-01T20:51:51.000+0000
,,Customer Response,10/1/2024,,2024-10-01T21:14:35.000+0000
,,Awaiting Customer,10/1/2024,,2024-10-01T21:18:42.000+0000
,,Evaluation,10/1/2024,,2024-10-01T21:19:22.000+0000
,003V500000Clu1SIAR,,10/1/2024,Other - Marketing,2024-10-01T21:20:09.000+0000
,,Customer Response,10/1/2024,,2024-10-01T21:20:15.000+0000
,,Awaiting Customer,10/1/2024,,2024-10-01T21:34:26.000+0000
,,Open,10/1/2024,,2024-10-01T21:40:26.000+0000
,,Evaluation,10/1/2024,,2024-10-01T21:42:07.000+0000
,,Customer Response,10/1/2024,,2024-10-01T21:43:59.000+0000
,,Escalated,10/1/2024,,2024-10-01T21:48:12.000+0000
,,Evaluation,10/1/2024,,2024-10-01T21:48:43.000+0000
,,Open,10/1/2024,,2024-10-01T21:48:49.000+0000
,,Awaiting Customer,10/1/2024,,2024-10-01T21:49:04.000+0000
,,Open,10/1/2024,,2024-10-01T21:54:44.000+0000
